更新时间,#genre#
2025-03-25 02:08:41,url
央视频道,#genre#:
CCTV7,http://223.145.224.118:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.129:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.129:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.129:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.118:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.118:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.118:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.129:8000/udp/239.76.252.57:9000
CCTV8,http://223.145.224.118:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.118:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.129:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.129:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.129:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.129:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.129:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.118:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.118:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.118:8000/udp/239.76.246.158:1234
CCTV9,http://223.145.224.118:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.118:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.129:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.129:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.118:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.118:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.129:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.129:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.118:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.118:8000/udp/239.76.246.159:1234
CCTV10,http://223.145.224.118:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.118:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.118:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.129:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.129:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.118:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.129:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.129:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.118:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.118:8000/udp/239.76.253.160:9000
CCTV11,http://223.145.224.118:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.118:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.129:8000/udp/239.76.252.61:9000
CCTV11,http://223.145.224.129:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.118:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.118:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.129:8000/udp/239.76.252.61:9000
CCTV11,http://223.145.224.129:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.118:8000/udp/239.76.252.61:9000
CCTV11,http://223.145.224.118:8000/udp/239.76.252.61:9000
CCTV12,http://223.145.224.118:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.118:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.129:8000/udp/239.76.252.62:9000
CCTV12,http://223.145.224.129:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.129:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.118:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.129:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.129:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.118:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.129:8000/udp/239.76.246.162:1234
CCTV13,http://223.145.224.118:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.118:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.118:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.129:8000/udp/239.76.252.63:9000
CCTV13,http://223.145.224.129:8000/udp/239.76.246.93:1234
